goos: darwin
goarch: arm64
pkg: github.com/inaneverb/ekaweb/private
BenchmarkUkvs/Insert/StdCtx/1-10         	29046693	        58.54 ns/op	      48 B/op	       1 allocs/op
BenchmarkUkvs/Get/StdCtx/1-10            	246375900	         4.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/1-10         	218561883	         5.443 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/1-10      	249134581	         4.801 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/1-10      	51978804	        22.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/1-10         	83790836	        14.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/1-10      	79528791	        16.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/1-10   	549579722	         2.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/1-10      	53061636	        23.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/1-10         	83865986	        14.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/1-10      	69891714	        15.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/1-10   	547398952	         2.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/2-10         	12529021	        96.30 ns/op	      96 B/op	       2 allocs/op
BenchmarkUkvs/Get/StdCtx/2-10            	100000000	        10.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/2-10         	69808368	        17.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/2-10      	100000000	        10.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/2-10      	28356420	        45.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/2-10         	81386968	        14.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/2-10      	41063370	        30.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/2-10   	557521075	         2.100 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/2-10      	26957583	        44.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/2-10         	84655833	        14.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/2-10      	40980165	        29.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/2-10   	560177014	         2.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/4-10         	 6701846	       178.5 ns/op	     192 B/op	       4 allocs/op
BenchmarkUkvs/Get/StdCtx/4-10            	63892095	        18.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/4-10         	22828479	        51.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/4-10      	64824715	        18.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/4-10      	11215800	        90.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/4-10         	84292102	        14.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/4-10      	20363358	        58.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/4-10   	566843214	         2.082 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/4-10      	13502172	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/4-10         	84996622	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/4-10      	20707966	        58.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/4-10   	578186352	         2.103 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/8-10         	 3853840	       372.1 ns/op	     384 B/op	       8 allocs/op
BenchmarkUkvs/Get/StdCtx/8-10            	34831531	        34.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/8-10         	 6472594	       185.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/8-10      	34934635	        34.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/8-10      	 6124760	       200.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/8-10         	81967682	        14.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/8-10      	10091736	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/8-10   	563606629	         2.137 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/8-10      	 5528930	       199.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/8-10         	77835310	        14.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/8-10      	10106653	       120.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/8-10   	552679996	         2.215 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/12-10        	 2205314	       577.4 ns/op	     576 B/op	      12 allocs/op
BenchmarkUkvs/Get/StdCtx/12-10           	25174604	        46.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/12-10        	 3076630	       386.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/12-10     	25419756	        47.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/12-10     	 4006953	       301.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/12-10        	74080549	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/12-10     	 6625321	       193.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/12-10  	540521974	         2.144 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/12-10     	 3740580	       289.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/12-10        	74400342	        16.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/12-10     	 6394954	       187.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/12-10  	511146361	         2.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/StdCtx/16-10        	 1667706	       737.2 ns/op	     768 B/op	      16 allocs/op
BenchmarkUkvs/Get/StdCtx/16-10           	19869180	        60.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/StdCtx/16-10        	 1858406	       629.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/StdCtx/16-10     	19596848	        60.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsGoMap/16-10     	 3089078	       384.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsGoMap/16-10        	74542458	        16.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsGoMap/16-10     	 4280218	       253.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsGoMap/16-10  	556859834	         2.141 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Insert/UkvsSlice/16-10     	 2569641	       423.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/Get/UkvsSlice/16-10        	74193914	        16.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetAll/UkvsSlice/16-10     	 4374112	       251.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUkvs/GetHeader/UkvsSlice/16-10  	555674966	         2.138 ns/op	       0 B/op	       0 allocs/op
